name,destination,price_egp,rating,url,source_website,image_url
Marassi Boutique Hotel-Marina 2 El Alamein Pool,"North Coast, Egypt",8400,9,https://www.hotels.com/ho3500853984/?chkin=2026-07-13&chkout=2026-07-14&flexibility=1_DAY&searchRange=2026-07-01_2026-07-31&searchRange=2026-08-01_2026-08-31&searchRange=2026-09-01_2026-09-30&searchRange=2026-10-01_2026-10-31&searchRange=2026-11-01_2026-11-30&searchRange=2026-12-01_2026-12-31&x_pwa=1&rfrr=HSR&pwa_ts=1783182762220&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=972070363693498368&destination=North+Coast%2C+Matrouh+Governorate%2C+Egypt&destType=MARKET&latLong=31.061226%2C28.108728&sort=RECOMMENDED&top_dp=175&top_cur=USD&userIntent=&selectedRoomType=325477607&selectedRatePlan=399546051&expediaPropertyId=109370437&searchId=5ebfa6f5-02fc-460a-89a8-ebcbe36479cd,Hotels.com,https://images.trvl-media.com/lodging/110000000/109380000/109370500/109370437/2d779b55.jpg?impolicy=resizecrop&ra=fit&rw=455&rh=455
Caesar Bay Resort El Dabaa Breakfast included Pool Hot tub,"North Coast, Egypt",12912,8.4,https://www.hotels.com/ho490545/caesar-bay-resort-ad-dab-ah-egypt/?chkin=2026-10-10&chkout=2026-10-11&flexibility=1_DAY&searchRange=2026-07-01_2026-07-31&searchRange=2026-08-01_2026-08-31&searchRange=2026-09-01_2026-09-30&searchRange=2026-10-01_2026-10-31&searchRange=2026-11-01_2026-11-30&searchRange=2026-12-01_2026-12-31&x_pwa=1&rfrr=HSR&pwa_ts=1783182762224&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=972070363693498368&destination=North+Coast%2C+Matrouh+Governorate%2C+Egypt&destType=MARKET&latLong=31.061226%2C28.108728&sort=RECOMMENDED&top_dp=242&top_cur=USD&userIntent=&selectedRoomType=201521308&selectedRatePlan=207637336&expediaPropertyId=9842173&searchId=5ebfa6f5-02fc-460a-89a8-ebcbe36479cd,Hotels.com,https://images.trvl-media.com/lodging/10000000/9850000/9842200/9842173/d4d99e05.jpg?impolicy=resizecrop&ra=fit&rw=455&rh=455
Med IL Caesar ADULT ONLY El Dabaa Breakfast included Pool,"North Coast, Egypt",8208,8.2,https://www.hotels.com/user/signin?uurl=e3id%3Dredr%26rurl%3D%2FHotel-Search%3FregionId%3D972070363693498368%26destination%3DNorth%2BCoast%252C%2BMatrouh%2BGovernorate%252C%2BEgypt%26flexibility%3D1_DAY%26searchRange%3D2026-07-01_2026-07-31%26searchRange%3D2026-08-01_2026-08-31%26searchRange%3D2026-09-01_2026-09-30%26searchRange%3D2026-10-01_2026-10-31%26searchRange%3D2026-11-01_2026-11-30%26searchRange%3D2026-12-01_2026-12-31%26adults%3D2%26latLong%3D31.061226%252C28.108728%26userIntent%3D%26sort%3DRECOMMENDED%26vip%3Dfalse%26selected%3D128906609&partnerLang=en_GB,Hotels.com,https://images.trvl-media.com/lodging/129000000/128910000/128906700/128906609/08b040d3.jpg?impolicy=resizecrop&ra=fit&rw=455&rh=455
My Ōtel North Coast - Adult Only El Dabaa Breakfast included Pool,"North Coast, Egypt",8160,10,https://www.hotels.com/ho3750917824/?chkin=2026-10-01&chkout=2026-10-02&flexibility=1_DAY&searchRange=2026-07-01_2026-07-31&searchRange=2026-08-01_2026-08-31&searchRange=2026-09-01_2026-09-30&searchRange=2026-10-01_2026-10-31&searchRange=2026-11-01_2026-11-30&searchRange=2026-12-01_2026-12-31&x_pwa=1&rfrr=HSR&pwa_ts=1783182763662&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=972070363693498368&destination=North+Coast%2C+Matrouh+Governorate%2C+Egypt&destType=MARKET&latLong=31.061226%2C28.108728&sort=RECOMMENDED&top_dp=170&top_cur=USD&userIntent=&selectedRoomType=326883843&selectedRatePlan=405987067&expediaPropertyId=117184932&searchId=5ebfa6f5-02fc-460a-89a8-ebcbe36479cd,Hotels.com,https://images.trvl-media.com/lodging/118000000/117190000/117185000/117184932/0159bd8f.jpg?impolicy=resizecrop&ra=fit&rw=455&rh=455
Makai Hotel North Coast By Brassbell El Dabaa Pool,"North Coast, Egypt",15120,8.2,https://www.hotels.com/user/signin?uurl=e3id%3Dredr%26rurl%3D%2FHotel-Search%3FregionId%3D972070363693498368%26destination%3DNorth%2BCoast%252C%2BMatrouh%2BGovernorate%252C%2BEgypt%26flexibility%3D1_DAY%26searchRange%3D2026-07-01_2026-07-31%26searchRange%3D2026-08-01_2026-08-31%26searchRange%3D2026-09-01_2026-09-30%26searchRange%3D2026-10-01_2026-10-31%26searchRange%3D2026-11-01_2026-11-30%26searchRange%3D2026-12-01_2026-12-31%26adults%3D2%26latLong%3D31.061226%252C28.108728%26userIntent%3D%26sort%3DRECOMMENDED%26vip%3Dfalse%26selected%3D131509686&partnerLang=en_GB,Hotels.com,https://images.trvl-media.com/lodging/132000000/131510000/131509700/131509686/w2044h1357x4y4-de0b9ad0.jpg?impolicy=resizecrop&ra=fit&rw=455&rh=455
Marmarica Boutique Cabanas El Dabaa Breakfast included Pool,"North Coast, Egypt",17424,9,https://www.hotels.com/ho3457090976/marmarica-boutique-cabanas/?chkin=2026-09-01&chkout=2026-09-02&flexibility=1_DAY&searchRange=2026-07-01_2026-07-31&searchRange=2026-08-01_2026-08-31&searchRange=2026-09-01_2026-09-30&searchRange=2026-10-01_2026-10-31&searchRange=2026-11-01_2026-11-30&searchRange=2026-12-01_2026-12-31&x_pwa=1&rfrr=HSR&pwa_ts=1783182763667&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=972070363693498368&destination=North+Coast%2C+Matrouh+Governorate%2C+Egypt&destType=MARKET&latLong=31.061226%2C28.108728&sort=RECOMMENDED&top_dp=272&top_cur=USD&userIntent=&selectedRoomType=326865643&selectedRatePlan=403066079&expediaPropertyId=108002843&searchId=5ebfa6f5-02fc-460a-89a8-ebcbe36479cd,Hotels.com,https://images.trvl-media.com/lodging/109000000/108010000/108002900/108002843/caeb4419.jpg?impolicy=resizecrop&ra=fit&rw=455&rh=455
Aura Resort Sidi Abdel Rahman - El Alamein El Alamein Pool,"North Coast, Egypt",3312,6.8,https://www.hotels.com/ho924407616/aura-resort-sidi-abdel-rahman-el-alamein-el-alamein-egypt/?chkin=2026-12-01&chkout=2026-12-02&flexibility=1_DAY&searchRange=2026-07-01_2026-07-31&searchRange=2026-08-01_2026-08-31&searchRange=2026-09-01_2026-09-30&searchRange=2026-10-01_2026-10-31&searchRange=2026-11-01_2026-11-30&searchRange=2026-12-01_2026-12-31&x_pwa=1&rfrr=HSR&pwa_ts=1783182763670&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=972070363693498368&destination=North+Coast%2C+Matrouh+Governorate%2C+Egypt&destType=MARKET&latLong=31.061226%2C28.108728&sort=RECOMMENDED&top_dp=62&top_cur=USD&userIntent=&selectedRoomType=210015505&selectedRatePlan=220084751&expediaPropertyId=28856488&searchId=5ebfa6f5-02fc-460a-89a8-ebcbe36479cd,Hotels.com,https://images.trvl-media.com/lodging/29000000/28860000/28856500/28856488/ef1efa73.jpg?impolicy=resizecrop&ra=fit&rw=455&rh=455
Prime Holidays Caesar Bay El Dabaa Kitchen,"North Coast, Egypt",7392,8.2,https://www.hotels.com/user/signin?uurl=e3id%3Dredr%26rurl%3D%2FHotel-Search%3FregionId%3D972070363693498368%26destination%3DNorth%2BCoast%252C%2BMatrouh%2BGovernorate%252C%2BEgypt%26flexibility%3D1_DAY%26searchRange%3D2026-07-01_2026-07-31%26searchRange%3D2026-08-01_2026-08-31%26searchRange%3D2026-09-01_2026-09-30%26searchRange%3D2026-10-01_2026-10-31%26searchRange%3D2026-11-01_2026-11-30%26searchRange%3D2026-12-01_2026-12-31%26adults%3D2%26latLong%3D31.061226%252C28.108728%26userIntent%3D%26sort%3DRECOMMENDED%26vip%3Dfalse%26selected%3D116105080&partnerLang=en_GB,Hotels.com,https://images.trvl-media.com/lodging/117000000/116110000/116105100/116105080/e8d1e755_edited_d039.jpg?impolicy=resizecrop&ra=fit&rw=455&rh=455
XU Sidi Abdel-Rahman Resort & SPA El Alamein Breakfast included Pool,"North Coast, Egypt",15504,4,https://www.hotels.com/ho3378557536/x-eastern-sidi-abdel-rahman-resort-spa-el-alamein-egypt/?chkin=2026-07-07&chkout=2026-07-08&flexibility=1_DAY&searchRange=2026-07-01_2026-07-31&searchRange=2026-08-01_2026-08-31&searchRange=2026-09-01_2026-09-30&searchRange=2026-10-01_2026-10-31&searchRange=2026-11-01_2026-11-30&searchRange=2026-12-01_2026-12-31&x_pwa=1&rfrr=HSR&pwa_ts=1783182763676&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=972070363693498368&destination=North+Coast%2C+Matrouh+Governorate%2C+Egypt&destType=MARKET&latLong=31.061226%2C28.108728&sort=RECOMMENDED&top_dp=218&top_cur=USD&userIntent=&selectedRoomType=324802808&selectedRatePlan=402438914&expediaPropertyId=105548673&searchId=5ebfa6f5-02fc-460a-89a8-ebcbe36479cd,Hotels.com,https://images.trvl-media.com/lodging/106000000/105550000/105548700/105548673/e9371cc4.jpg?impolicy=resizecrop&ra=fit&rw=455&rh=455
Cleopatra Sidi Heneish Marsa Matrouh Breakfast included Pool,"North Coast, Egypt",13536,9.4,https://www.hotels.com/ho3048884832/cleopatra-luxury-sidi-heneish-borg-el-arab-egypt/?chkin=2026-10-04&chkout=2026-10-05&flexibility=1_DAY&searchRange=2026-07-01_2026-07-31&searchRange=2026-08-01_2026-08-31&searchRange=2026-09-01_2026-09-30&searchRange=2026-10-01_2026-10-31&searchRange=2026-11-01_2026-11-30&searchRange=2026-12-01_2026-12-31&x_pwa=1&rfrr=HSR&pwa_ts=1783182763678&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=972070363693498368&destination=North+Coast%2C+Matrouh+Governorate%2C+Egypt&destType=MARKET&latLong=31.061226%2C28.108728&sort=RECOMMENDED&top_dp=203&top_cur=USD&userIntent=&selectedRoomType=322482415&selectedRatePlan=391509230&expediaPropertyId=95246401&searchId=5ebfa6f5-02fc-460a-89a8-ebcbe36479cd,Hotels.com,https://images.trvl-media.com/lodging/96000000/95250000/95246500/95246401/65aabae1.jpg?impolicy=resizecrop&ra=fit&rw=455&rh=455
